@relation activity_recognition_labeled

@attribute "X0" numeric
@attribute "X1" numeric
@attribute "X2" numeric
@attribute "X3" numeric
@attribute "X4" numeric
@attribute "Y0" numeric
@attribute "Y1" numeric
@attribute "Y2" numeric
@attribute "Y3" numeric
@attribute "Y4" numeric
@attribute "Z0" numeric
@attribute "Z1" numeric
@attribute "Z2" numeric
@attribute "Z3" numeric
@attribute "Z4" numeric
@attribute "XAVG" numeric
@attribute "YAVG" numeric
@attribute "ZAVG" numeric
@attribute "XSTANDDEV" numeric
@attribute "YSTANDDEV" numeric
@attribute "ZSTANDDEV" numeric
@attribute "RESULTANT" numeric
@attribute class{  "Driving", "Walking" , "Jogging" , "Upstairs" , "Downstairs" , "Sitting" , "Standing", "Still" }

@data
0.02,0.17,0.23,0.57,0.01,0.00,0.01,0.01,0.97,0.01,0.01,0.26,0.73,0.00,0.00,5.03,2.60,-8.03,0.19,0.19,0.17,7.87,Driving
0.03,0.18,0.73,0.05,0.01,0.06,0.47,0.40,0.06,0.01,0.01,0.03,0.55,0.39,0.03,5.12,2.60,-7.98,0.09,0.05,0.08,7.86,Driving
0.05,0.52,0.31,0.03,0.09,0.01,0.14,0.53,0.26,0.06,0.09,0.57,0.20,0.09,0.04,5.15,2.60,-7.96,0.10,0.04,0.08,7.86,Driving
0.04,0.18,0.16,0.04,0.57,0.01,0.08,0.19,0.52,0.21,0.04,0.22,0.12,0.22,0.40,5.31,2.63,-7.84,0.15,0.04,0.12,7.86,Driving
0.01,0.00,0.02,0.53,0.45,0.03,0.17,0.43,0.31,0.06,0.01,0.00,0.14,0.62,0.23,5.42,2.65,-7.75,0.03,0.02,0.03,7.86,Driving
0.02,0.11,0.46,0.36,0.05,0.02,0.17,0.44,0.32,0.05,0.03,0.33,0.51,0.12,0.01,5.43,2.65,-7.75,0.03,0.02,0.03,7.86,Driving
0.01,0.05,0.34,0.58,0.01,0.02,0.16,0.67,0.14,0.01,0.01,0.03,0.23,0.70,0.04,5.42,2.65,-7.75,0.05,0.03,0.05,7.86,Driving
0.01,0.05,0.39,0.54,0.01,0.01,0.15,0.68,0.15,0.01,0.01,0.03,0.26,0.67,0.04,5.42,2.65,-7.75,0.04,0.03,0.05,7.86,Driving
0.01,0.07,0.42,0.48,0.02,0.02,0.26,0.66,0.06,0.01,0.01,0.02,0.32,0.61,0.04,5.42,2.65,-7.76,0.05,0.03,0.05,7.86,Driving
0.14,0.21,0.27,0.36,0.03,0.02,0.34,0.60,0.05,0.00,0.02,0.24,0.36,0.34,0.03,5.38,2.65,-7.78,0.06,0.03,0.05,7.86,Driving
